customer_id,date,annual_income,purpose_of_travel,travel_frequency,transport_flight,transport_train,transport_car_rental,transport_cruise,transport_other,travel_domestic,travel_international,travel_luxury_resort,travel_spa_relaxation,travel_activity_outdoor,travel_cultural_history,travel_cruise,travel_budget,info_email,info_social_media,info_storefront,info_phone_call
00009996,2018/1/10,4184000,0,0,,1,,1,,0,1,1,1,0,0,1,1,0,1,0,0
00010000,,20112000,2,0,,1,1,,,1,0,1,0,1,0,0,1,0,1,0,1
00010056,2018/0/29,0,0,0,,1,1,,,0,0,1,1,1,0,0,1,1,1,0,1
00010061,2018/2/6,0,2,0,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00010098,2018/2/10,1104000,2,2,,1,,,,1,0,1,1,1,0,0,1,0,1,0,0
00005136,2017/2/2,4184000,1,0,,1,1,,,1,0,1,1,1,0,0,1,0,0,0,0
00006485,2011/6/13,15147000,2,2,,,1,,,1,0,0,0,1,0,0,1,0,1,1,0
00008571,2012/9/14,5104000,0,4,,1,1,,,1,0,1,1,1,1,0,1,0,1,1,0
00007262,2015/1/14,0,2,0,,1,1,,,1,0,0,0,1,0,0,1,1,0,0,0
00004599,2013/8/23,12116000,2,2,1,1,1,,,1,0,1,1,1,1,0,1,0,1,0,0
00000366,2021/10/6,174000,0,4,,,,,,0,1,1,1,1,1,0,1,1,1,0,0
00001310,2012/6/26,15167000,2,0,,1,1,,,1,0,1,1,1,0,0,1,0,1,0,0
00008416,2016/8/25,0,2,1,,1,1,,,0,0,1,1,1,1,0,1,0,1,0,0
00009097,2016/10/26,5102000,2,2,,1,1,,,0,1,1,0,1,0,0,1,0,1,0,0
00004394,2013/4/22,1108000,2,0,,,1,,,0,0,1,0,1,0,0,1,0,1,0,0
00006656,2015/4/26,4184000,2,0,,1,1,,,1,0,1,1,1,1,0,1,0,1,0,0
00000810,2013/4/17,27166000,2,0,,1,1,,,0,0,0,0,1,0,0,1,0,1,0,0
00004438,2010/7/6,19151000,0,0,,1,1,,,1,0,1,0,1,0,0,1,1,1,0,0
00001878,2020/10/1,0,2,2,,1,,,,1,0,0,1,1,0,0,1,0,1,0,0
00004274,2013/2/9,2117000,2,1,,,,,,1,0,0,0,1,0,0,1,0,1,0,0
00007634,2012/10/29,20178000,0,2,,1,1,,,0,0,1,0,1,0,0,1,1,1,0,0
00001911,2021/6/2,,2,4,,1,1,,,0,0,1,1,1,0,0,1,0,1,0,0
00001607,2020/12/16,0,2,2,1,1,,,,1,0,1,1,1,0,0,1,0,1,1,0
